When did bitcoin hit 20,000$?;November 2017true;March 2016;October 2014;June 2015;
When was Apple Inc. founded?;July 1972;November 1980;September 1979;April 1976true
Who is the designer of Python language?;Dennis Richie;Guido van Rossumtrue;James Gosling;Chris Lattner
'OS' computer abbreviation usually means?;Order of Significance;Open Software;Operating Systemtrue;Optical Sensor
Who is largely responsible for breaking the German Enigma codes, created a test that provided a foundation for artificial intelligence?;Alan Turingtrue;Jeff Bezos;George Boole;Charles Babbage
'.INI' extension refers usually to what kind of file?;Image file;System filetrue;Hypertext related file;Image Color Matching Profile file
Who co-founded Hotmail in 1996 and then sold the company to Microsoft?;Shawn Fanning;Ada Byron Lovelace;Sabeer Bhatiatrue;Ray Tomlinson
What do we call a collection of two or more computers that are located within a limited distance of each other and that are connected to each other directly or indirectly?;Inernet;Interanet;Local Area Networktrue;Wide Area Network
In what year was the "@" chosen for its use in e-mail addresses?;1976;1972true;1980;1984
Who built the world's first binary digit computer: Z1...?;Konrad Zusetrue;Ken Thompson;Alan Turing;George Boole
'CD' computer abbreviation usually means?;Command Description;Change Data;Copy Density;Compact Disctrue
Where is the headquarters of Intel located?;Redmond, Washington;Tucson, Arizona;Santa Clara, Californiatrue;Richmond, Virginia
What is the term to ask the computer to put information in order numerically or alphabetically?;Crop;Report;Record;Sorttrue
How many bits make a byte?;16;8true;24;12
